,citation_years,pmc_id
4383998,"[2018, 2017, 2017, 2018, 2018, 2017, 2017, 2018, 2016, 2017, 2017, 2018, 2017, 2017, 2016, 2017, 2016, 0, 2017, 0, 2016, 2016, 2017, 2017, 2016, 0, 2015, 2017, 2017, 2016, 2017, 2017, 2017, 2017, 2016, 2017, 2018, 2016, 2017, 2015, 2016, 2017, 2018, 2017, 2017, 2015, 2017, 2016, 2015, 2017, 2018, 2018, 2017, 2017, 2018, 2015, 2016, 2018, 0, 2016, 2017, 2016, 2016, 2016, 2016, 2017, 2016, 2016, 2015, 2018, 2016, 2016, 0, 2018, 2016, 2016, 0, 2017, 2016, 0, 2017, 2018, 2016, 2016, 2016, 2015, 0, 2015, 2016, 2017, 2016, 2018, 0, 2016, 2017, 2017, 2017, 2015, 2016, 2015, 2017, 2017, 2016, 2016, 0, 2017, 2018, 2017, 2017, 2018, 2016, 2017, 2017, 2017, 2016, 2017, 2017, 0, 2018, 2016, 2017, 2018, 2017, 2017, 2016, 2017, 0, 2017, 2018, 0, 2017, 2016, 2017, 0, 2017, 2017, 2018, 2016, 2018, 2017, 2018, 2017, 2016, 2016, 0, 2015, 2017, 2015, 2018, 0, 2018, 0, 2018, 2018, 2017, 2016, 2016, 2017, 2018, 2015, 2017, 2017, 2016, 2017, 2016, 2016, 0, 0, 0, 2016, 2017, 2017, 2018, 2017, 2016, 2016, 2015, 2018, 2018, 2018, 2015, 2017, 2017, 2016, 2015, 2016, 0, 0, 2017, 2015, 2016, 2018, 2018, 2018, 2017, 2017, 0, 2015, 2015, 2017, 2017, 2017, 2018, 2018, 2016, 2017, 2017, 2015, 2015, 2016, 2015, 0, 2017, 2016, 2017, 2017, 2017, 2017, 2018, 2017, 2015, 2015, 2018, 2016, 2016, 2017, 2017, 2018, 2018, 0, 2017, 2016, 2016, 2018, 2016, 2015, 2018, 2018, 2017, 2017, 2016, 2017, 2017, 2017, 2016, 2018, 2018, 2018, 2016, 2016, 2017, 2017, 2018, 2016, 0, 2016, 2017, 2016, 2018, 2017, 2017, 2017, 2016, 2017, 2017, 2018, 2017, 0, 0, 2017, 2017, 2016, 2018, 2016, 2018, 2016, 2018, 2017, 2015, 2016, 2018, 2018, 2017, 0, 2017, 2016, 0, 2017, 0, 2018, 2017]",PMC4383998
4456804,"[2018, 2016, 2016, 2017, 2016, 2015]",PMC4456804
4461398,"[2017, 2017, 2016, 2015, 2017, 2017, 2018, 2017, 2018, 2017, 2017, 2016, 2016, 2015, 2018, 2017, 2018, 2016]",PMC4461398
4587398,"[0, 2017, 2016, 2016, 2018, 2018, 2017, 2016, 2017, 2017, 2017, 2016, 2018, 2017, 2016, 0, 2016, 2018, 2016, 2017, 2016, 2016, 2016, 2017, 2018, 2018, 2017, 2017, 2017]",PMC4587398
4607730,"[2017, 2016, 2017, 2018, 2016, 2015, 0, 2016]",PMC4607730
462586,"[0, 0, 0, 0, 0, 0, 0]",PMC462586
4657038,"[2018, 2017, 2018, 2017, 2016, 2017, 2018]",PMC4657038
4707261,"[2018, 2016, 2018, 2018, 2016, 2017, 2018, 2016, 2017, 2016]",PMC4707261
4737646,"[2016, 2016, 2017, 2018, 2016, 2016]",PMC4737646
4783079,"[2017, 2018, 2016, 2018, 2017, 2018]",PMC4783079
4784899,"[2016, 2018, 2018, 2016, 2017, 0, 2018, 2017, 2017, 2017, 2018, 2018]",PMC4784899
4800742,"[2016, 2018, 2018, 0, 2015, 2018, 2015, 2017, 2017, 2017, 2017, 2016, 2016, 2017, 2017, 2016, 0, 2016, 2016, 0, 2016, 2018, 2015, 0, 2018, 0, 2016, 0, 2016, 2016, 2016, 2017, 2016, 2018, 2017, 2016, 2016, 2016, 2017, 2015, 2018, 2016, 0, 2017, 2017, 2015, 2016, 2017, 2016, 2016, 2016, 2017, 0, 2018, 2016, 0, 2017, 2017, 2016, 2016, 2016, 2017, 2016, 2017, 2015, 2017, 2018, 2016, 2016, 2017, 2015, 2017, 2017, 2016, 2018, 2018, 2018, 2018, 2018, 2018, 2017, 2016, 2018, 2017, 2016, 0, 2016, 2017, 0, 2017, 2016, 2018, 0, 2017, 0, 2017, 2016, 2016, 2017, 2018, 0, 2018, 2016, 2017, 2015, 0, 0, 2016, 2017, 2015, 2017, 2016, 2016, 2016, 2016, 2017, 2017, 2016, 0, 2018, 2017, 2018, 2018, 2016, 2017, 0, 2017, 2016, 2018, 2017, 0, 2017, 2016, 2018, 2017, 2018, 0, 2017, 2017, 2018, 2016, 2018, 2018, 0, 2017, 2017, 2017, 2016, 2018, 2017, 2016, 2017, 2016, 2016, 2015, 2016, 2017, 2017, 2017, 2017, 0, 2017, 2018, 2016, 2017]",PMC4800742
4821530,"[2018, 2017, 2017, 2016, 2017, 2017]",PMC4821530
4829466,"[2018, 2018, 2017, 2017, 2017, 2016, 2018, 2016, 0, 2016, 2017, 2018, 2016, 2016, 2017, 2016, 2018, 2017, 0, 2017, 2017, 2017, 2018, 2017, 2018, 2016, 2017, 2017, 2018, 0, 2017, 2016, 2018, 2018, 2018, 2017, 2017]",PMC4829466
4838263,"[2017, 0, 2018, 2017, 2016, 2016, 0, 2017, 2018, 2017, 2017, 2017, 2018]",PMC4838263
4856035,"[0, 2018, 2016, 2017]",PMC4856035
4857123,"[2016, 2017, 2017, 2018]",PMC4857123
4858944,"[2018, 2018, 2016, 2017, 0, 2017, 2017, 2018, 2018, 2018, 2017, 2017, 2016, 2017, 0, 2017, 2017]",PMC4858944
4887336,"[2018, 2017, 2017, 2017, 2018, 2017, 2017, 2017, 2018, 0, 2016, 2017, 2017, 2017, 2017, 0, 2017, 2018, 2018, 2017, 2016, 0, 2017, 2018, 2017, 2016, 2017, 0, 0, 2017, 2017, 0, 2016, 0, 2017, 2017, 2017, 2017]",PMC4887336
4919895,"[2018, 2017]",PMC4919895
4930834,"[2017, 2018, 2016, 2018, 2018, 2017, 2017, 2017, 2017, 2018, 2018, 2017, 2018, 2018, 2017, 2018, 0, 2017, 2018, 2017, 0, 2018, 2016, 2018, 2017, 2018, 2017, 2018, 2017, 2018, 2018, 2017, 2017, 2017, 2018, 2017, 2018, 0]",PMC4930834
496526,"[2015, 2016, 0, 2016, 0, 2017, 0, 0, 0, 2009, 0]",PMC496526
4965635,"[2017, 2018, 2017, 2017, 2018, 2017, 2018, 2018, 2018, 2017]",PMC4965635
4972086,"[2017, 2017, 2017, 2017, 2017, 2018]",PMC4972086
4976700,"[2017, 2016, 2018]",PMC4976700
