,citations,n_citations,pmc_id
3990667,"['5134501', '4256590', '5554580']",3,PMC3990667
4016950,[],0,PMC4016950
4086130,"['5819766', '4845762', '4675694', '5638208', '5653784', '5215403', '5005272', '4930834', '4689484', '4374785', '5053656', '5753597', '5192966', '5799026', '5102256', '5482631', '5662764', '5672545', '5810031', '5737394', '6044382', '5287226', '5223214', '5181570', '5046221', '5025164', '5726792', '5001780', '4333019', '4583778', '4382730', '5693369', '5882888', '5503518', '5300121', '5159871', '5734428', '4673434', '6020840', '4518198', '5635550', '4919895', '5532784', '4600621', '4917453', '5921396', '5641581', '4153537', '5029662', '5962550', '5952941', '5838628', '5596881', '5355998', '4834551', '6063738', '5502825', '5760621', '4976700', '5974511', '4945830', '4858944', '5860760']",63,PMC4086130
4098832,"['5342073', '4281276', '4701046', '5193106', '4689159', '4420636', '4823922', '4604168', '5815936', '4694844', '6053443', '5701046', '4970460', '5883534', '5722575', '4101763', '5957297', '5746373', '4099524', '5112703', '6024333', '5435887', '5079679', '5528620', '4373107', '5287109', '4294377', '5119958', '4559199', '5124530', '5248573', '4891023', '4583389', '5050154', '6021419', '5528618', '5696266', '5297047', '4821508', '4796027', '4167745', '4040458', '5085243', '5862306', '5650456', '5059112', '4692100', '5016172', '4905366', '5421939', '4826182', '6095730', '4507807', '4039128', '4154497', '4279367', '5003022', '4944528', '5891348', '4408261', '4336945', '4250230', '4330752', '5754352', '5706657', '5048365', '5305212', '5342406', '4466007', '4435825', '4169564', '5313047', '3964064', '4147301', '4031441', '5876130', '4643408', '5528501', '4184867', '5819998', '6076867', '5371854', '4288358', '5743623', '4398996', '5087317', '4908108', '5653508', '5708181', '4355234', '4717845', '4785103', '5012007', '4412490', '4737758', '4432663', '5658758', '5378933', '4695870', '5909674', '5120861', '4289115', '5435346', '5873878', '5528621', '5346251', '4622697', '3947296', '6065179', '4363485', '4163536', '5799768', '4594182', '4179759', '4325379', '4123291', '4609261', '4190567', '5167176', '4428333', '4150215', '4659938', '4831844']",123,PMC4098832
410386,[],0,PMC410386
4108877,"['4823819', '5814751', '5622518', '5753190', '4943296', '4578352', '4108850', '5765662', '5210557', '4652617', '5487293', '6007090', '5683383', '5129546', '4556094', '5679337', '5978404', '6004408', '5753343', '5763302', '4607714', '4510462', '4137659']",23,PMC4108877
4137659,"['4510462', '4360371', '6070956', '4369291']",4,PMC4137659
4153537,"['5626567', '5689675', '5716118', '4930834', '5053656', '5893633', '5350134', '6043797', '5001780', '4979501', '5407990', '4833304', '4557916', '5461547', '4592529', '4691095', '4804633', '5636275', '5753343', '4274604', '4625862']",21,PMC4153537
4156235,"['5294213', '6088389', '5986241', '5951639', '5500765', '5939939', '4858938', '4676880', '5799026', '5460347', '5016147', '4830481', '5570441', '5358945', '4411476', '5677521', '5616215', '4738454', '4893672', '6089676', '6049031', '5220582', '5172568', '5083090', '5017244', '5436697', '4715485', '5778013', '4419343', '5340999', '5406750', '5117667', '5245710', '5380061', '5729929', '4597152', '4304520', '5490909', '5799042', '5393399', '5487020', '6021760', '4890179', '5671767', '4937520', '6026592']",46,PMC4156235
4179751,"['5737394', '4967295', '5679337', '5447464', '5938574', '5193106', '5952941', '5860178', '5001780', '4657038', '4652136', '5510182', '4783079', '4719067', '5663545', '4625862', '5758385', '5984374', '5864870']",19,PMC4179751
4201337,"['5590829', '6050578', '5450710', '4493453', '6063935', '5722368', '4706426', '4624487', '4459895', '5930436', '5766737', '4562013', '4652136', '4669789', '5590822', '5937523', '5490840', '5066159', '5712482', '4205555', '4933439', '5865639', '5624855', '4861443', '4975937', '4625862', '4815229']",27,PMC4201337
4221125,"['4586299', '4652136', '4675694']",3,PMC4221125
4234128,"['5746471', '4567444', '4775099', '4490239', '5293153', '5978689', '5886578', '5516865', '4355234', '4314810', '5536966', '4628897', '5224466', '5401947', '5662764', '5001206']",16,PMC4234128
4243058,"['4990228', '5844802', '4792562', '5923294', '5816634', '5983605', '4306915', '5394761', '5584342', '5561898', '5796257', '4302087', '5354754', '5357762', '4876240', '5603593', '4399089', '4872391', '5992212', '4330785', '4490239', '4621199', '5118537', '4647640', '5742819', '5248601', '5768065', '5251273', '4941381', '4812680', '5859474', '5377948', '4963810', '5006452', '4506581', '5522271', '4991449', '5882567', '5531485', '5934344', '5540272', '5040981', '5658260', '4982242', '5928365', '4729931', '4652136', '4947105', '4741452', '5863838', '5444923', '4751232', '5831789', '5590807', '4671804', '5173114', '4450756', '5373387', '5519134', '4404388', '5908114', '5201118', '5011664', '4864275', '5663700', '5768103', '5701508']",67,PMC4243058
4270428,"['4942116', '5714249', '5635550', '4908338']",4,PMC4270428
4274604,[],0,PMC4274604
433301,"['5024104', '1168194', '554387', '432238', '51168', '1166736', '5039744', '5597274', '140106', '4517610', '329322', '360647', '2142492', '392840', '3791473', '431499', '1299886', '4909059', '3605109', '2808174', '4510928', '1225477', '430230', '5659713', '5700999', '3938314', '1328558', '1150083', '4227566', '431888', '383047', '4517943', '3020081', '2142772', '1168182', '1168193', '5881500', '2373477', '1329184']",39,PMC433301
4380931,"['5558834', '5739608', '5248573', '5087317', '5417482', '5026573', '5541718', '4909414', '5978689', '4823068', '4652136', '4587398', '5429592', '4991434', '5537611', '5012007', '5662764', '5725273']",18,PMC4380931
